ID No.,POD,Address,Latitude,Longitude
1,Walgreens,"1040 Polaris Pkwy, Columbus, OH 43240",40.14711,-82.99166
2,CVS,"2929 Stelzer Rd, Columbus, OH 43219",40.03307,-82.9108
3,Walgreens,"5195 N Hamilton Rd, Columbus, OH 43230",40.0628,-82.86384
4,CVS,"1500 Lockbourne Rd, Columbus, OH 43206",39.93482,-82.96439
5,Walgreens,"3583 E Broad St, Columbus, OH 43213",39.97294,-82.90492
6,Walgreens,"6266 Gender Rd, Canal Winchester, OH 43110",39.85339,-82.82836
7,Walgreens,"4890 N High St, Columbus, OH 43214",40.06197,-83.01954
8,Walgreens,"6201 E Broad St, Columbus, OH 43213",39.98021,-82.83706
9,Walgreens,"4530 Kenny Rd, Columbus, OH 43220",40.05346,-83.04959
10,Walgreens,"2615 Brice Rd, Reynoldsburg, OH 43068",39.92685,-82.83133
11,Walgreens,"1162 Harrisburg Pike, Columbus, OH 43223",39.93255,-83.04771
12,CVS,"1634 Neil Ave, Columbus, OH 43201",39.99479,-83.01454
13,Walgreens,"1101 Hill Rd N, Pickerington, OH 43147",39.91065,-82.7787
14,Walgreens,"3093 Cleveland Ave, Columbus, OH 43224",40.0308,-82.96408
15,Walgreens,"2110 Stringtown Rd, Grove City, OH 43123",39.87852,-83.05881
16,CVS,"591 E Livingston Ave, Columbus, OH 43215",39.9522,-82.98268
17,Walgreens,"6805 Hospital Dr, Dublin, OH 43016",40.10315,-83.16106
18,CVS,"4801 W Broad St, Columbus, OH 43228",39.9522,-83.12981
19,CVS,"3424 S High St, Columbus, OH 43207",39.89239,-82.99631
20,CVS,"109 S High St #100, Columbus, OH 43215",39.95984,-83.00023
21,Walgreens,"7900 E Broad St, Blacklick, OH 43004",39.98504,-82.79316
22,CVS,"2020 Eakin Rd, Columbus, OH 43223",39.9321,-83.04883
23,CVS,"2160 N High St, Columbus, OH 43201",40.00626,-83.0093
24,CVS,"3499 Clime Rd, Columbus, OH 43223",39.92746,-83.08989
25,CVS,"1515 W Broad St, Columbus, OH 43222",39.95737,-83.04056
26,CVS,"3506 Gender Rd, Canal Winchester, OH 43110",39.90957,-82.82432
27,CVS,"3355 E Livingston Ave, Columbus, OH 43227",39.94643,-82.90669
28,Walgreens,"5555 New Albany Rd E, New Albany, OH 43054",40.09795,-82.81757
29,Walgreens,"4617 E Main St, Whitehall, OH 43213",39.95544,-82.87556
30,Walgreens,"1444 W 5th Ave, Grandview Heights, OH 43212",39.98881,-83.04485
31,Walgreens,"6320 E Main St, Reynoldsburg, OH 43068",39.95482,-82.82853
32,Walgreens,"5690 W Broad St, Galloway, OH 43119",39.95119,-83.15249
33,Walgreens,"3141 Tremont Rd, Upper Arlington, OH 43221",40.02082,-83.06129
34,CVS,"1211 Morse Rd, Columbus, OH 43229",40.06112,-82.98667
35,Walgreens,"5383 Cemetery Rd, Hilliard, OH 43026",40.0299,-83.16088
36,CVS,"5445 N High St, Columbus, OH 43214",40.07325,-83.01896
37,CVS,"2532 E Main St, Columbus, OH 43209",39.95702,-82.93121
38,CVS,"933 Bethel Rd, Columbus, OH 43214",40.0633,-83.04422
39,CVS,"4777 Sawmill Rd, Columbus, OH 43220",40.0645,-83.09331
40,CVS,"4280 Morse Rd, Columbus, OH 43230",40.05639,-82.88702
41,CVS,"1400 Parsons Ave, Columbus, OH 43206",39.93538,-82.98364
42,CVS,"2100 E Dublin Granville Rd, Columbus, OH 43229",40.08685,-82.96064
43,CVS,"2680 N High St, Columbus, OH 43202",40.01692,-83.01201
44,CVS,"1100 Hill Rd N, Pickerington, OH 43147",39.92267,-82.78422
45,Walgreens,"759 Neil Ave, Columbus, OH 43215",39.97656,-83.01095
46,Walgreens,"9110 Dublin Rd, Powell, OH 43065",40.15445,-83.13276
47,Walgreens,"9669 Sawmill Pkwy, Powell, OH 43065",40.15803,-83.09153
48,Walgreens,"3015 E Livingston Ave, Columbus, OH 43209",39.94692,-82.91602
49,Walgreens,"3445 S High St, Columbus, OH 43207",39.89129,-82.99679
50,Walgreens,"748 N State St, Westerville, OH 43082",40.14546,-82.92481
51,CVS,"3307 E Broad St, Columbus, OH 43213",39.97207,-82.91307
52,CVS,"4400 Cleveland Ave, Columbus, OH 43224",40.05915,-82.95304
53,CVS,"1950 Hard Rd, Columbus, OH 43235",40.11732,-83.06784
54,CVS,"1495 W 5th Ave, Columbus, OH 43212",39.98887,-83.0463
55,CVS,"4961 Roberts Rd, Hilliard, OH 43026",40.00327,-83.13951
56,CVS,"2565 London Groveport Rd, Grove City, OH 43123",39.83914,-83.07403
57,CVS,"3100 Cleveland Ave, Columbus, OH 43224",40.03098,-82.96407
58,Walgreens,"2150 E Dublin Granville Rd, Columbus, OH 43229",40.08679,-82.9597
59,Walgreens,"1040 Polaris Pkwy, Columbus, OH 43240",40.14656,-82.99214
60,Walgreens,"3583 E Broad St, Columbus, OH 43213",39.97294,-82.90492
61,CVS,"2120 Stringtown Rd, Grove City, OH 43123",39.8786,-83.06014
62,Walgreens,"1280 Demorest Rd, Columbus, OH 43204",39.92822,-83.0904
63,CVS,"3575 Broadway, Grove City, OH 43123",39.89053,-83.08641
64,CVS,"620 S Cleveland Ave, Westerville, OH 43081",40.11113,-82.94912
65,Walgreens,"2770 W Broad St, Columbus, OH 43204",39.9549,-83.07443
66,CVS,"9151 S Old State Rd, Lewis Center, OH 43035",40.15001,-82.99777
67,CVS,"1202 County Line Rd, Westerville, OH 43081",40.13137,-82.88646
68,CVS,"60 N Stygler Rd, Gahanna, OH 43230",40.01957,-82.89057
69,CVS,"175 W Main St, New Albany, OH 43054",40.08023,-82.81343
70,CVS,"8467 E Main St, Reynoldsburg, OH 43068",39.955953,-82.772567
71,CVS,"6300 Scioto Darby Rd, Hilliard, OH 43026",40.03293,-83.17885
72,CVS,"6165 Glick Rd, Powell, OH 43065",40.15395,-83.13052
73,CVS,"1885 W Henderson Rd, Upper Arlington, OH 43220",40.05497,-83.06954
74,CVS,"145 S State St, Westerville, OH 43081",40.12181,-82.9301
75,CVS,"918 N High St, Worthington, OH 43085",40.09283,-83.01786
76,CVS,"7470 Sawmill Rd, Dublin, OH 43016",40.11825,-83.09035
77,CVS,"3282 Tremont Rd, Upper Arlington, OH 43221",40.02396,-83.05854
78,CVS,"3883 Park Mill Run Dr, Hilliard, OH 43026",40.0318,-83.11687
79,CVS,"6659 E Main St, Reynoldsburg, OH 43068",39.95496,-82.81952
80,CVS,"900 N Hamilton Rd, Gahanna, OH 43230",40.04054,-82.86471
81,CVS,"4548 E Main St, Whitehall, OH 43213",39.95548,-82.87725
82,CVS,"305 W Bridge St, Dublin, OH 43017",40.09913,-83.12226
83,CVS,"3488 Seldom Seen Rd, Powell, OH 43065",40.16979,-83.08918
84,CVS,"1485 Polaris Pkwy, Columbus, OH 43240",40.14123,-82.97906
85,CVS,"4610 Cemetery Rd, Hilliard, OH 43026",40.03183,-83.13901
86,CVS,"711 Park Rd, Worthington, OH 43085",40.12619,-82.98059
87,CVS,"1001 Norton Rd, Galloway, OH 43119",39.93091,-83.14456
88,Walgreens,"19 London Rd, Delaware, OH 43015",40.29029,-83.06932